iter	Passed	Remaining
0	0	40
1	0	39
2	1	37
3	1	36
4	1	35
5	2	35
6	2	35
7	3	34
8	3	33
9	3	33
10	4	32
11	4	32
12	4	31
13	5	31
14	5	31
15	5	30
16	6	30
17	6	29
18	6	29
19	7	28
20	7	28
21	7	28
22	8	27
23	8	27
24	8	26
25	9	26
26	9	26
27	10	25
28	10	25
29	10	25
30	11	24
31	11	24
32	11	23
33	12	23
34	12	23
35	12	22
36	13	22
37	13	21
38	13	21
39	14	21
40	14	20
41	14	20
42	15	20
43	15	19
44	15	19
45	16	18
46	16	18
47	16	18
48	17	17
49	17	17
50	17	17
51	18	16
52	18	16
53	18	15
54	19	15
55	19	15
56	19	14
57	20	14
58	20	14
59	20	13
60	21	13
61	21	13
62	21	12
63	22	12
64	22	12
65	23	11
66	23	11
67	23	11
68	24	10
69	24	10
70	24	10
71	25	9
72	25	9
73	25	9
74	25	8
75	26	8
76	26	7
77	26	7
78	27	7
79	27	6
80	28	6
81	28	6
82	28	5
83	28	5
84	29	5
85	29	4
86	30	4
87	30	4
88	31	3
89	31	3
90	31	3
91	32	2
92	32	2
93	32	2
94	33	1
95	33	1
96	33	1
97	34	0
98	34	0
99	34	0
